,id,question,A,B,C,D,answer
156,Mercury_7043733,Which best describes the orbit of the Moon around Earth?,circular with a period of about one month,circular with a period of about one week,elliptical with a period of about one month,elliptical with a period of about one week,C
157,OHAT_2011_8_41,"In any physical or chemical process, what two quantities are always conserved?",matter and total energy,light and acoustic energy,density and thermal energy,gravity and potential energy,A
158,TIMSS_2003_8_pg5,The nucleus of MOST atoms consists of,neutrons only,protons and neutrons,protons and electrons,neutrons and electrons,B
159,MCAS_2008_8_5702,The complete removal of decomposers from an ecosystem will have the greatest effect on which of the following?,the spread of disease,the availability of water,the recycling of nutrients,the distribution of organisms,C
160,LEAP_2008_8_10424,"In an accurate diagram of the solar system, which object would be shown closest to Earth?",the Moon,the asteroid belt,Mars,Saturn,A
161,MCAS_2000_8_11,"Typically, sedimentary rocks are formed",only in erupting volcanoes.,only under great pressure and high temperatures.,below Earth's surface as magma cools and crystallizes.,from materials that settle.,D
162,Mercury_7068618,Which renewable resource is used with photovoltaic cells to produce electricity?,hydrothermal energy,solar energy,geothermal energy,nuclear energy,B
163,Mercury_SC_402621,Which will most likely happen to a solid substance that is heated?,It will melt.,It will boil.,It will harden.,It will evaporate.,A
164,Mercury_7081638,A scientist observes an unusual activity while studying bacterial cells. Using scientific inquiry to investigate the activity will enable the scientist to,control the behavior.,prove that the behavior is beneficial.,evaluate different explanations of the behavior.,conclude how the behavior will change in the future.,C
165,NYSEDREGENTS_2009_8_31,"In order to survive, all organisms must have",chlorophyll,carbon dioxide,energy,blood,C
166,NYSEDREGENTS_2005_8_43,Which observation of a plant supports the inference that photosynthesis can take place?,"a strong, sweet smell","a dry, rough texture",a green color,a smooth stem,C
167,Mercury_SC_402028,"To safely conduct an experiment using chemicals, what should students always do?",Work in large groups.,Wear safety goggles.,Wear short sleeves.,Keep a window open.,B
168,NYSEDREGENTS_2009_8_25,Infections may be caused by,mutations,microorganisms,toxic substances,climate changes,B
169,Mercury_7008313,Which are two parts of the carbon cycle?,freezing and thawing,growth and reproduction,evaporation and precipitation,photosynthesis and respiration,D
170,Mercury_SC_408413,The digestive system breaks food into simple substances that the body can use. What system carries these simple substances from the digestive system to other parts of the body?,circulatory,nervous,respiratory,skeletal,A
171,Mercury_182140,"A student conducts an experiment using a common but potentially harmful bacteria culture. After working with the bacteria, which is the most important safety practice to follow?",turn off any electrical equipment,dispose of waste materials,wash hands and tabletops thoroughly,return materials to their proper place,C
172,Mercury_SC_415479,Which of these environmental changes goes on for months or years?,drought,flood,avalanche,landslide,A
173,Mercury_SC_416531,Erin placed her shamrock plant in a dark corner. Soon she saw that the leaves had tilted toward her window. What did the plant need most from the window?,sunlight during the day,air during the day,darkness at night,warmth at night,A
174,MEA_2011_8_10,Which gravitational pull has the greatest influence on Earth's tides?,the gravitational pull between Earth and the Moon,the gravitational pull between Earth and the Sun,the gravitational pull between Earth and Jupiter,the gravitational pull between Earth and Mars,A
175,Mercury_7142363,One key physical process in beach formation is wave action. Sand is deposited on beaches as waves break onto the shoreline and the energy from the wave scatters. Which type of energy is most used by wave action to modify the shape of the beaches?,thermal,potential,chemical,mechanical,D
176,VASoL_2008_3_34,A student is asked to bring something that feels rough to class. Which would be BEST for him to bring?,Pillow,Marble,Sandpaper,Trading card,C
177,Mercury_SC_400835,What tool would be used to examine a fingerprint?,a graduated cylinder,a hand lens,a pair of goggles,a thermometer,B
178,MCAS_2015_5_15,Which of the following is a mineral?,diamond,plastic,steel,wood,A
179,Mercury_SC_415409,"During a rainstorm, leaves wash down a gully on a hillside. The water slows down at the foot of the hill and fans out, depositing the leaves. What geologic structure is formed in a similar way?",a basalt column,a stalactite,a fault line,a delta,D
180,Mercury_SC_401237,The change in fur color of the Arctic hare from brown in the summer to white in the winter is an example of,mimicry.,heredity.,diversity.,camouflage.,D
181,VASoL_2007_3_8,Which sense is used to tell if there is sugar in a glass of tea?,Touch,Hearing,Smell,Taste,D
182,NYSEDREGENTS_2005_8_4,The surface of Earth is covered by a relatively thin layer of water called the,crust,mantle,hydrosphere,atmosphere,C
183,Mercury_7251930,All organisms contain DNA and RNA. What are the subunits of DNA and RNA?,simple sugars,amino acids,carbohydrates,nucleotides,D
184,Mercury_SC_413305,How does ice change the shape of rocks?,It dissolves the rocks by pooling on surfaces.,It breaks the rocks by expanding in openings.,It smooths the rocks by colliding with them.,It moves the rocks by pressing on them.,B
185,Mercury_7234203,Which property of Earth's interior keeps the innermost part in a solid state?,relatively low temperature,extremely high pressure,high rate of heat flow,low rate of radioactive decay,B
186,Mercury_7217753,Diseases that can be transmitted between organisms are,infectious.,inherited.,environmental.,congenital.,A
187,Mercury_SC_401229,The transfer of thermal energy from one object to another is known as,heat.,electricity.,magnetism.,temperature.,A
188,Mercury_405868,Which part of the body carries out the function of copying DNA?,brain,heart,bones,cells,D
189,Mercury_7025428,The atomic mass of an atom is,the same as the atomic number.,the same as the group number.,the sum of protons and neutrons.,the difference between protons and electrons.,C
190,NYSEDREGENTS_2009_8_26,Different species of carnivorous animals that share the same habitat in an ecosystem may,become decomposers,compete for food,produce their own food,mate with each other,B
191,Mercury_SC_401005,Which scientist is best known for studying plants and animals?,Isaac Newton,Albert Einstein,Charles Darwin,Nicolaus Copernicus,C
